area,depth
3060,1.5871370351305814e-07
3060,1.57772134912193e-07
3060,1.5762692839871306e-07
2881,1.4481911136954295e-07
2730,1.4117294711013528e-07
2752,1.4156367456052976e-07
2752,1.4481661025911308e-07
2583,1.387637951211218e-07
2542,1.4009798121605854e-07
2379,1.4184104202286107e-07
2440,1.4569286577170715e-07
2480,1.4700184181037912e-07
1995,1.2282042405331595e-07
1995,1.0574030540055901e-07
1995,1.0920529547320257e-07
1904,1.203231505542135e-07
1925,1.2012213801426697e-07
1925,1.1671438926441624e-07
1925,1.1641981956245218e-07
2016,1.1556856094330215e-07
2016,1.1546569567144616e-07
1925,1.1872884186914234e-07
1925,1.2347653921551682e-07
1925,1.2227980050738552e-07
1925,1.2063290455444076e-07
1925,1.19553149602325e-07
1870,1.1775236430366931e-07
1870,1.1665760979440165e-07
1870,1.1702877600328065e-07
1870,1.1741980898705151e-07
2016,1.198007879565921e-07
1904,1.2372147750738804e-07
1870,1.2433346796569822e-07
1904,1.2485632794323465e-07
1925,1.1897698470875184e-07
1925,1.1993967063972377e-07
1904,1.1555139423080618e-07
1960,1.1555109580285716e-07
1960,1.1582205416971192e-07
1960,1.1784873521492045e-07
1904,1.239087765725344e-07
1925,1.0701234742782617e-07
1870,1.237825841826634e-07
1870,1.2356642287159048e-07
1925,1.2445286756701535e-07
1925,1.0837566577492908e-07
1960,1.2560275308715063e-07
1960,1.2874750154878711e-07
1960,1.2826089346162917e-07
1960,1.2817730521419435e-07
1870,1.1857450488150789e-07
1960,1.0794971672112297e-07
1925,1.0987650966853835e-07
1960,1.1283349010682286e-07
1944,1.1429094826098662e-07
1944,1.1709138192372848e-07
1925,1.0035370223704376e-07
1980,1.1574407210446225e-07
1980,1.1510480391052624e-07
1890,1.0886311940794258e-07
1890,1.1655237130980822e-07
1890,1.196073640130635e-07
1890,1.0985602472146638e-07
1890,1.1076249961661233e-07
1890,1.1158853396864288e-07
1836,1.2731774745589064e-07
1890,1.3119093011937366e-07
1925,1.2398051296713675e-07
1925,1.2227971524225723e-07
1890,1.1974634617217816e-07
1836,1.1636878127774253e-07
1836,1.2252282033387019e-07
1782,1.1517941800320841e-07
1836,1.1471045269217939e-07
1836,1.0189716448394393e-07
1890,1.100126141295732e-07
1802,8.673197271491517e-08
1855,1.1020433277053598e-07
1820,1.0968192754035044e-07
1768,1.0909424474903062e-07
1802,8.926333805447939e-08
1749,1.0655300286543934e-07
1683,1.1068204486264221e-07
1716,1.1199899319080941e-07
1768,1.0668588856788119e-07
1768,1.0768403768679491e-07
1768,1.1151063006309414e-07
1768,1.0742993339363238e-07
1768,1.0750576961982006e-07
1700,1.109343301664012e-07
1700,1.0904690839197428e-07
1683,1.0906389746878631e-07
1683,1.046563511408749e-07
1650,1.0411093143147809e-07
1650,1.0412828288508535e-07
1650,9.795063959927575e-08
1617,1.0015447315936399e-07
1617,1.0507254444291902e-07
1617,1.053520293226029e-07
1617,1.0497350189098142e-07
1519,1.0335443079156903e-07
1568,1.073454498623505e-07
1617,1.0334287736668557e-07
1617,1.0351380552720002e-07
1650,1.0704606978606535e-07
1600,1.0072189127185993e-07
1650,1.0650716575355546e-07
1650,1.1175200143043185e-07
1617,1.1197484894864829e-07
1617,1.1242624253782196e-07
1650,1.0310978382221947e-07
1716,1.028494196475549e-07
1768,1.0395706340204924e-07
1768,1.033213052892279e-07
1768,1.1206662264839906e-07
1768,1.1122202892011046e-07
1855,1.0352489709930524e-07
1890,1.028771876576684e-07
1890,1.0198927924420786e-07
2035,1.2064506904607697e-07
2016,1.1915835784748197e-07
2052,1.3390527442425082e-07
2109,1.1893661167050595e-07
2109,1.1767284036068304e-07
2109,1.1651268749801602e-07
2301,1.336016310915511e-07
2520,1.6955733883605717e-07
2624,1.4538596815327764e-07
2560,1.42231996846931e-07
2970,1.9016601982002612e-07
2881,1.5352397042533994e-07
3528,2.1305875463895063e-07
3876,2.1940782346518972e-07
3952,1.910985503172924e-07
4004,1.8611495988807292e-07
4345,2.0312900517183152e-07
4536,2.0037491310631594e-07
4930,2.171527739847079e-07
